"age";"population"
"Academiekwartier";300
"Ebbingekluft";462
"Bisschopskwartier";158
"A-Kwartier";494
"Westerkluft";301
"Winkelkwartier";633
"Sint Geertruidskwartier";295
"Drenkelaarskwartier";221
"Buurmande";313
"Het Olde Rondeel";180
"Oosterhaven";202
"Schuitenschuiversschans";324
"Voorplein UMCG";11
"Het Arsenaal";311
"De Krim";208
"Zuiderhaven";117
"A-poort";373
"Noorderplantsoen";0
"Hortusbuurt-West";401
"Hortusbuurt-Oost";735
"Gasfabriekterrein";117
"Bodenterrein";123
"UMCG";1
"Stationsgebied";84
"De Meeuwen";130
"Oosterpoort-West";178
"Zuiderpark";40
"Oosterpoort-Midden";238
"Oosterpoort-Oost";514
"Herewegbuurt";311
"Rivierenbuurt-Zuid";106
"Rivierenbuurt-Noord";533
"Stationsgebied-Zuid";0
"Davidstraatkwartier";185
"Fongers";101
"Grunobuurt-Zuid";275
"Grunobuurt-Noord";152
"Badstratenbuurt";187
"Zeeheldenbuurt";1084
"Laanhuizen";220
"Voorpark Stadspark";0
"Recreatiegebied Stadspark";0
"Volkstuinen Stadspark";0
"Martini Trade Park";0
"Oranjebuurt-West";182
"Oranjebuurt-Oost";241
"Noorderplantsoenbuurt-West";153
"Noorderplantsoenbuurt-Oost";641
"Tussen de Kaden";185
"Schildersbuurt-Zuid";985
"Schildersbuurt-Midden";326
"Schildersbuurt-Noord";157
"Kostverloren-West";183
"Kostverloren-Oost";184
"Selwerderwijk-Zuid";237
"Selwerderwijk-Noord";42
"Tuindorp De Hoogte";45
"Cortinghborg";36
"Bedrijventerrein De Hoogte";1
"Kop Indische buurt";236
"Oud-Indische buurt-Zuid";375
"Oud-Indische buurt-Noord";211
"Nieuw-Indische buurt";545
"Molukkenplantsoen";0
"West-Indische buurt";118
"Kop Korreweg";53
"Professorenbuurt-West";399
"Professorenbuurt-Midden";500
"Professorenbuurt-Oost";661
"Professorenbuurt-Noord";97
"Gorechtbuurt-West";437
"Gorechtbuurt-Oost";298
"Linnaeus";277
"De Velden";18
"Oosterpark";0
"Vogelbuurt-West";75
"Vogelbuurt-Oost";20
"Slachthuisterrein";127
"Bloemenbuurt-Zuid";58
"Bloemenbuurt-Noord";35
"Florabuurt-Oost";127
"Pioenpark";0
"De Twee Reizigers";49
"Bedrijventerrein Damsterdiep";66
"De Linie";38
"Europapark";62
"Eemskanaal-Noord";0
"Eemskanaal-Zuid";2
"Kop van Oost";38
"Woonschepenhaven";13
"Driebond";7
"Eemspoort";1
"Euvelgunne";7
"Winschoterdiep";0
"Stainkoel'n";0
"Bedrijventerrein Roodehaan";0
"Buitengebied Roodehaan";3
"Waterhuizen";0
"Papiermolen";0
"Thomsonkwartier";3
"Kempkensberg";4
"Coendersborg-West";37
"Coendersborg-Oost";118
"Groene Helperzoom";0
"Klein Martijn-Noord";21
"Klein Martijn-Zuid";12
"Villabuurt-West";11
"Villabuurt-Oost";18
"Helpman-West";256
