"age";"population";"percentage"
"Academiekwartier";773;300
"Ebbingekluft";1437;462
"Bisschopskwartier";660;158
"A-Kwartier";1525;494
"Westerkluft";969;301
"Winkelkwartier";1729;633
"Sint Geertruidskwartier";888;295
"Drenkelaarskwartier";896;221
"Buurmande";1195;313
"Het Olde Rondeel";841;180
"Oosterhaven";731;202
"Schuitenschuiversschans";917;324
"Voorplein UMCG";189;11
"Het Arsenaal";1408;311
"De Krim";589;208
"Zuiderhaven";524;117
"A-poort";1217;373
"Noorderplantsoen";0;0
"Hortusbuurt-West";2036;401
"Hortusbuurt-Oost";2381;735
"Gasfabriekterrein";586;117
"Bodenterrein";289;123
"UMCG";2;1
"Stationsgebied";302;84
"De Meeuwen";1461;130
"Oosterpoort-West";1004;178
"Zuiderpark";146;40
"Oosterpoort-Midden";1634;238
"Oosterpoort-Oost";2335;514
"Herewegbuurt";1562;311
"Rivierenbuurt-Zuid";919;106
"Rivierenbuurt-Noord";1835;533
"Stationsgebied-Zuid";3;0
"Davidstraatkwartier";969;185
"Fongers";882;101
"Grunobuurt-Zuid";1462;275
"Grunobuurt-Noord";838;152
"Badstratenbuurt";894;187
"Zeeheldenbuurt";3252;1084
"Laanhuizen";1258;220
"Voorpark Stadspark";0;0
"Recreatiegebied Stadspark";27;0
"Volkstuinen Stadspark";0;0
"Martini Trade Park";0;0
"Oranjebuurt-West";1205;182
"Oranjebuurt-Oost";1643;241
"Noorderplantsoenbuurt-West";1132;153
"Noorderplantsoenbuurt-Oost";2816;641
"Tussen de Kaden";506;185
"Schildersbuurt-Zuid";2997;985
"Schildersbuurt-Midden";1317;326
"Schildersbuurt-Noord";987;157
"Kostverloren-West";1470;183
"Kostverloren-Oost";800;184
"Selwerderwijk-Zuid";1509;237
"Selwerderwijk-Noord";777;42
"Tuindorp De Hoogte";965;45
"Cortinghborg";458;36
"Bedrijventerrein De Hoogte";12;1
"Kop Indische buurt";782;236
"Oud-Indische buurt-Zuid";1573;375
"Oud-Indische buurt-Noord";1221;211
"Nieuw-Indische buurt";2924;545
"Molukkenplantsoen";210;0
"West-Indische buurt";1821;118
"Kop Korreweg";513;53
"Professorenbuurt-West";1165;399
"Professorenbuurt-Midden";1613;500
"Professorenbuurt-Oost";2310;661
"Professorenbuurt-Noord";498;97
"Gorechtbuurt-West";2187;437
"Gorechtbuurt-Oost";1384;298
"Linnaeus";1146;277
"De Velden";605;18
"Oosterpark";0;0
"Vogelbuurt-West";1116;75
"Vogelbuurt-Oost";257;20
"Slachthuisterrein";783;127
"Bloemenbuurt-Zuid";1304;58
"Bloemenbuurt-Noord";815;35
"Florabuurt-Oost";1183;127
"Pioenpark";2;0
"De Twee Reizigers";437;49
"Bedrijventerrein Damsterdiep";304;66
"De Linie";975;38
"Europapark";447;62
"Eemskanaal-Noord";18;0
"Eemskanaal-Zuid";13;2
"Kop van Oost";383;38
"Woonschepenhaven";144;13
"Driebond";34;7
"Eemspoort";27;1
"Euvelgunne";61;7
"Winschoterdiep";52;0
"Stainkoel'n";0;0
"Bedrijventerrein Roodehaan";0;0
"Buitengebied Roodehaan";25;3
"Waterhuizen";7;0
"Papiermolen";5;0
"Thomsonkwartier";119;3
"Kempkensberg";269;4
"Coendersborg-West";1165;37
"Coendersborg-Oost";1848;118
"Groene Helperzoom";0;0
"Klein Martijn-Noord";515;21
"Klein Martijn-Zuid";148;12
"Villabuurt-West";354;11
"Villabuurt-Oost";625;18
"Helpman-West";2610;256
"Helpman-Oost";3486;425
"Schrijverskwartier-Noord";1301;101
"Schrijverskwartier-Zuid";1713;101
"Dichterskwartier";1765;106
"Queridokwartier";950;31
"Helpermaar";656;37
"Ina Boudierkwartier";1618;38
"Corpus-Noordwest";656;37
"Corpus-Noordoost";650;53
"Corpus-Zuidoost";1027;32
"Corpus-Zuidwest";2131;107
"Sportpark Corpus";0;0
"Hoornse Meer-Centrum";475;3
"Hoornse Meer-West";1050;41
"Hoornse Meer-Oost";1177;43
"Hoornse Meer-Noord";786;73
"Hoornse Meer-Zuid";968;26
"Recreatiegebied Hoornse Meer";35;1
"Hoornse Park";710;28
"Van Swieten";61;7
"Piccardthof-Zuid";1074;42
"Piccardthof-Noord";160;8
"Recreatiegebied Piccardthof";2;0
"Bruilweering";42;0
"Hoogkerk Dorp-Zuid";984;23
"Hoogkerk Dorp-Noord";742;12
"De Halm";29;0
"U.T. Delfia";102;1
"Bedrijventerrein Hoogkerk Dorp";2;1
"Koningspoort";1634;27
"Koningsdiep";0;0
"De Ploeg";1085;18
"GabriÎl";1233;30
"Eideweert";0;0
"Minerva";591;9
"Receatiegebied Ruskenveen";2;0
"Ruskenveen";1008;23
"Bandringa";105;0
"Westpoort-Midden";0;0
"Westpoort-Oost";0;0
"Westpoort-West";5;0
"Bedrijventerrein Vierverlaten";135;0
"De Poffert";0;0
"Buitengebied Zuidwending";23;0
"Aduarderdiep";26;0
"Leegkerk";60;3
"Gravenburg-Zuid";0;0
"Gravenburg-Midden";1099;26
"Gravenburg-Noord";1175;15
"Gravenburg-Oost";0;0
"Buitengebied Gravenburg";32;0
"Suikerfabriekterrein";0;0
"Peizerweg";27;6
"Bangeweer";274;6
"De Buitenhof";1645;55
"Kranenburg";4;0
"De Kring";336;0
"Halfedelstenenkwartier";2729;177
"Edelstenenkwartier";3629;910
"Golden Raand";0;0
"Gesteentenkwartier";2007;60
"Metalenkwartier";2684;126
"West-end";35;5
"Hoendiep";124;9
"Friesestraatweg";60;7
"Rietlanden";805;19
"Reitdiephaven";659;27
"De Wierden";1169;24
"Dorkwerd";62;1
"De Held-Noord";1300;37
"De Held-Zuid";1459;38
"Het Roege Bos";0;0
"Westpark-West";0;0
"Westpark-Oost";40;2
"Selwerd-Centrum";1559;79
"Selwerd-West";2508;428
"Selwerd-Oost";1571;267
"Selwerd-Zuid";893;187
"Park Selwerd";0;0
"Sterrenbeelden-Zuid";1608;77
"Sterrenbeelden-Noord";1852;60
"Sterrenbeelden-Oost";1262;143
"Winkelcentrum Paddepoel";125;30
"Sterrenkwartier";1403;130
"Planetenkwartier";2730;350
"Kometenkwartier";1209;79
"Zernike Onderwijs";0;0
"Zernike Sciencepark";6;1
"Selwerderhof";5;0
"Concordia";1069;148
"Studentenbuurt";467;111
"Fossema";408;22
"Isebrandt";940;45
"Stoepema";1390;55
"Bunnema";2094;109
"Hiddema";1430;55
"Wibena";1920;72
"Clarema";1952;48
"Scheltema";2611;93
"De Hunze";2510;113
"Van Starkenborgh";919;40
"Noorderhoogebrug";314;23
"Het Witte Lam";45;1
"Koningslaagte";50;2
"Hunzeboord";0;0
"Lewenborg-Centrum";1269;14
"Voordek";563;14
"Stuurboord";828;16
"Achterdek";1046;15
"Aanlegsteiger";2127;38
"Bakboord";1387;39
"Vaarwater";1900;62
"Langszij";0;0
"Wijkpark Lewenborg";0;0
"Oosterhoogebrug Dorp";570;24
"Oosterhoogebrug-West";45;8
"Oosterhoogebrug-Oost";984;17
"Rijksweg";208;7
"Bedrijventerrein Oosterhoogebrug";95;6
