Thema's  - Buurtcombinaties (PC4 gebieden);;;;;
;hoofdgebruik van het gebied [Hoofdbestemming];value;opkomstpercentage gemeenteraadsverkiezingen [% kiezers] [2014];eerstejaars studenten totaal [2016];ouderejaars studenten totaal [2016]
11 Stadskern-zuid;Woon/Winkelgebied;2780;50,30%;457;2323
12 Stadskern-noord;Woon/Winkelgebied;2875;73,60%;527;2348
13 Oosterpark;Woongebied;1722;39,30%;276;1446
14 Korreweg;Woongebied;1710;42,90%;351;1359
15 Indischebuurt;Woongebied;1485;45,10%;232;1253
16 De Hoogte;Woongebied;361;36,70%;45;316
17 Oranjebuurt;Woongebied;1217;50,60%;227;990
18 Schildersbuurt;Woongebied;2510;50,90%;480;2030
21 De Wijert;Woongebied;684;56,20%;141;543
22 Coendersborg;Woongebied;635;62,50%;170;465
23 Euvelgunne;Werkgebied;323;44,50%;120;203
24 Oosterpoort;Woongebied;970;49,00%;158;812
25 Hereweg;Woongebied;1236;59,10%;258;978
26 Zeeheldenbuurt;Woongebied;1355;47,40%;322;1033
27 Stadspark;Woongebied;708;51,80%;137;571
28 Corpus den Hoorn;Woongebied;501;59,40%;119;382
31 Oosterhoogebrug;Woongebied;272;59,10%;64;208
32 Lewenborg-zuid;Woongebied;139;42,60%;38;101
33 Lewenborg-noord;Woongebied;59;54,40%;16;43
34 Noorddijk;Woongebied;77;45,10%;20;57
35 Bovenstreek;Buiten/Groengebied;9;0,00%;2;7
36 Beijum-oost;Woongebied;213;41,60%;52;161
37 Beijum-west;Woongebied;286;54,10%;71;215
38 Noorderhoogebrug;Buiten/Groengebied;26;59,10%;8;18
41 Selwerd;Woongebied;1220;44,80%;248;972
42 Paddepoel;Woongebied;869;42,20%;168;701
43 Vinkhuizen;Woongebied;1294;45,90%;225;1069
44 Hoogkerk-zuid;Woongebied;113;49,80%;24;89
45 Hoogkerk-noord;Woongebied;77;40,90%;20;57
46 Dorkwerd;Woongebied;152;53,00%;39;113
47 Universiteitscomplex;Werkgebied;1;-;0;1
Onbekend in Groningen;;10621;-;2985;7636
Buiten Groningen;;19885;-;5039;14846
;;;;;
Speciale waarden;#NAAM?;;;;
Bron;Gemeente Groningen;;;;
;RUG/HHG;;;;
